Digraphs 1,Digraphs 2,Digraphs 3,Label
nchi,uchumi,utashi,1
kiwango,baadhi,walishiriki,0
fedha,kukidhi,kwenye,1
msingi,marekebisho,walioendesha,0
shahidi,wabunge,orodha,1
kifungu,kupitisha,yenye,0
hicho,kupunguza,maandishi,1
cha,majumuisho,kuthibitisha,0
sheria,michango,mengi,1
mashitaka,wabunge,vilivyoshirikiana,0
kinahusisha,akizungumza,WasubaGirango,1
fedha,waandishi,WasunaGirango,0
udanganyifu,nyumbani,wanaishi,1
kifungu,mizengo,viungani,0
kingine,cha,nyavu,1
ndicho,wabunge,kujenga,0
dhamana,viongozi,kashinje,1
kifungu,kushirikiana,mwanachama,0
hicho,kudhibiti,shajara,1
cha,wabunge,kuzitengeneza,0
sheria,kuishauri,kinyama,1
shilingi,kuangalia,ng,0
kuwasilisha,viongozi,wengi,1
jeshi,msingi,lilimfanya,0
cha,viongozi,wengi,1
aidha,anglikan,waliyoathirika,0
masharti,shekhe,wanaishi,1
ufanyike,mashekhe,chama,0
mwingine,wengine,cha,1
kifungu,iangalie,Mungu,0
cha,wanaojinyima,mchwa,1
sheria,kufanya,bunge,0
cha,athari,afghanistan,1
kilimfanya,mheshimiwa,limefunguliwa,0
mshitakiwa,ushauri,kuunganisha,1
kuonesha,akaridhia,nguvu,0
mungu,kisha,kwenye,1
mshitakiwa,kubatilisha,Aliwakilisha,0
shilingi,kiongozi,Mashariki,0.459459459
thebathini,unaowaongoza,cha,0.457380457
wadhamini,ingeweza,cha,0.455301455
wangesaini,viongozi,cha,0.453222453
dhamana,viongozi,alifanya,0.451143451
shilingi,wanaowaongoza,mashabiki,0.449064449
kuwasilisha,mianya,Bongo,0.446985447
kubadilishwa,fedha,nchini,0.444906445
masharti,kuzingatia,itaanzisha,0.442827443
dhamana,fedha,mlenga,0.440748441
kumfanya,ziliingizwa,nyumba,0.438669439
mshitakiwa,fedha,yenye,0.436590437
tangu,kufanya,cha,0.434511435
ameshindwa,ameshafanya,mdunguaji,0.432432432
kukidhi,mwenyewe,Magreth,0.43035343
masharti,zitakazochukuliwa,suluhisho,0.428274428
mingi,dhidi,halikuchukua,0.426195426
tangu,mwanya,nyasi,0.424116424
afikishwe,alivyoainisha,zinaashiria,0.422037422
mchakato,alipozungumza,wingi,0.41995842
dhamana,waandishi,kadhalika,0.417879418
khadija,viongozi,kuongezeka,0.415800416
msongo,wenyewe,kiwango,0.413721414
dhamana,kuwashughulikia,cha,0.411642412
mshitakiwa,litashughulikiwa,ulimwengu,0.40956341
kusababisha,mwanya,Mshauri,0.407484407
yaliyomfanya,fedha,cha,0.405405405
mshitakiwa,uchumi,sheria,0.403326403
kusababisha,kushirikina,wangu,0.401247401
shilingi,kamishna,tuungane,0.399168399
ishirini,kuangalia,kuijengea,0.397089397
kuidhinisha,mianya,nguvu,0.395010395
majengo,itadhibiti,Nchini,0.392931393
pacha,waandishi,nyingine,0.390852391
cha,baadhi,zilirahisisha,0.388773389
viongozi,wabunge,ufanyaji,0.386694387
kamishna,waliozungumza,kusababisha,0.384615385
mchanganuo,kupongeza,inayoifanya,0.382536383
inalenga,ushauri,licha,0.38045738
viongozi,baadhi,haijashiriki,0.378378378
ushuru,kuwashirikisha,mashindano,0.376299376
vingine,kujifungia,chuo,0.374220374
nya,baadhi,cha,0.372141372
wanaoishi,kuongeza,kiongozi,0.37006237
mazingira,kipengele,chama,0.367983368
nguo,hicho,cha,0.365904366
vingine,cha,nchini,0.363825364
chini,kwenye,bichi,0.361746362
mashirika,kufanyia,myungeko,0.35966736
ongezeko,marekebisho,lafudhi,0.357588358
thamani,kuiunga,Mpango,0.355509356
uchunguzi,kuimarisha,alifanya,0.353430353
mashine,zinazochukuliwa,wanachokiona,0.351351351
uchunguzi,mashariki,baadhi,0.349272349
vingine,zinazochukuliwa,nchini,0.347193347
mashine,kuimarisha,afghanistan,0.345114345
maisha,nchini,mungu,0.343035343
shule,changamoto,lugha,0.340956341
mashirika,kuzalisha,kushuka,0.338877339
mashirika,miongoni,kwenye,0.336798337
kwenye,kuimarisha,yenye,0.334719335
akizungumzia,cha,ghali,0.332640333
sheria,aliushukuru,wangu,0.330561331
vifungu,kushirikiana,walifanya,0.328482328
sheria,kuimarisha,Jeshi,0.326403326
mashirika,imechukua,limenyosha,0.324324324
zitapungua,kuimarisha,halitanyamaa,0.322245322
shughuli,unguja,viongozi,0.32016632
mashirika,nchi,wakongwe,0.318087318
baadhi,wananchi,ianyoitwa,0.316008316
shughuli,uzalishaji,chanzo,0.313929314
kupunguza,chakula,cha,0.311850312
dhidi,ikifanya,wanga,0.30977131
majanga,nchini,upungufu,0.307692308
sheria,rachel,motisha,0.305613306
forodha,shilingi,shughuli,0.303534304
mashariki,thebathini,kimaisha,0.301455301
ishirini,mwandishi,mwandishi,0.299376299
kwenye,mkongwe,mwingine,0.297297297
sheria,kudhalilishwa,vinavyolenga,0.295218295
sheria,akidhaniwa,wengi,0.293139293
thebathini,mashitaka,mazingira,0.291060291
sheria,unawakilishwa,nyuma,0.288981289
forodha,unawakilishwa,kutofautisha,0.286902287
mashariki,rashid,nyingine,0.284823285
ishirini,mwanasheria,viongozi,0.282744283
shughuli,maandishi,kuelimisha,0.280665281
mchanganuo,thebathini,inayoongozwa,0.278586279
kipengele,ishirini,mazingira,0.276507277
cha,kuwajulisha,mipango,0.274428274
cha,kuzingatia,zingine,0.272349272
sheria,kwenye,wenyewe,0.27027027
forodha,shauri,wenyewe,0.268191268
mashariki,mwandishi,nchi,0.266112266
ushuru,shirika,athari,0.264033264
forodha,shilingi,maisha,0.261954262
bidhaa,thebathini,uliokomeshwa,0.25987526
zinazoingizwa,jeshi,Waingereza,0.257796258
nchini,kisheria,Tanganyika,0.255717256
kufundishia,shilingi,Kenya,0.253638254
bidhaa,ishirini,Oghuz,0.251559252
nyaraka,kufungua,kushiriki,0.249480249
vingine,ishirini,wamenyanyaswa,0.247401247
kufundishia,mashitaka,dhuluma,0.245322245
kwenye,yenye,maisha,0.243243243
kuhifadhia,vifungu,Shughuli,0.241164241
kwenye,mchana,nyingi,0.239085239
kufanyia,mwinyi,Magharibi,0.237006237
uchunguzi,chini,kwenye,0.234927235
kuhifadhia,mwandishi,Miongoni,0.232848233
vingine,shingo,sherehe,0.230769231
mashine,mwingine,nyingine,0.228690229
machela,kumuingiza,nchi,0.226611227
akizungumzia,kwenye,Kongo,0.224532225
viwango,cha,Angola,0.222453222
ushuru,kisha,Changia,0.22037422
forodha,kumwachia,kufanyika,0.218295218
kufanyia,alichofanyiwa,uchunguzi,0.216216216
ushuru,cha,uchaguzi,0.214137214
kiwango,kinyama,afanye,0.212058212
cha,kinyume,nyingine,0.20997921
vingine,cha,limechangia,0.207900208
ushuru,nchi,wengi,0.205821206
kiwango,chuo,kutochagua,0.203742204
cha,cha,isiathiri,0.201663202
picha,kufanya,uchaguzi,0.1995842
rangi,tathmini,Anafanya,0.197505198
marekebisho,thamani,chama,0.195426195
kufanywa,dhamana,chake,0.193347193
kwenye,washitakiwa,shida,0.191268191
ishirini,dhamana,kushoto,0.189189189
lengo,washitakiwa,kwenye,0.187110187
marekebisho,masharti,mashua,0.185031185
yanalenga,mengine,kupitishwa,0.182952183
kuhakikisha,dhamana,bunge,0.180873181
mingineyo,washitakiwa,wafanya,0.178794179
mashirika,thamani,kupunguza,0.176715177
utajumuisha,dhamana,ongezeko,0.174636175
vingine,washitakiwa,bangi,0.172557173
vingine,dhamana,kiwango,0.17047817
mashirika,mashitaka,majengo,0.168399168
mwenyekiti,washitakiwa,urithi,0.166320166
uchaguzi,nchini,nyingi,0.164241164
mashirika,washitakiwa,lugha,0.162162162
chini,dhamana,adhimu,0.16008316
nchini,cha,mwingi,0.158004158
ushirikiano,thamani,wachache,0.155925156
mwenyekiti,dhamana,viongozi,0.153846154
uchaguzi,washitakiwa,inamaanisha,0.151767152
khatib,washitakiwa,Imemfanya,0.14968815
mwinyichande,walirejeshwa,cha,0.147609148
uchaguzi,washitakiwa,ulimwengu,0.145530146
ishirini,thebathini,kisheria,0.143451143
nchi,kufanya,Ethiopia,0.141372141
chini,washitakiwa,nyingine,0.139293139
shirika,machi,Nyanya,0.137214137
mpango,kwenye,mwongo,0.135135135
ishirini,ulioendeshwa,shaka,0.133056133
wabunge,machi,nicholas,0.130977131
shirika,thamani,nchini,0.128898129
fedha,fedha,uingereza,0.126819127
uchumi,mfanyabiashara,alikanyaga,0.124740125
wabunge,fedha,mwisho,0.122661123
wabunge,shahidi,alichuchumaa,0.120582121
uchimbaji,wakilinganishwa,dirishani,0.118503119
kuchukua,uchafuzi,usafirishaji,0.116424116
mchanganuo,mazingira,iliongezewa,0.114345114
inayoingizwa,langu,janga,0.112266112
nchini,hadithi,kuanzishwa,0.11018711
mapengo,mwenyekiti,Mashirikisho,0.108108108
wakichangia,nchini,Uingereza,0.106029106
wabunge,vingi,mnaisherehekea,0.103950104
wengi,mwisho,chini,0.101871102
walionesha,ngambo,jeshi,0.0997921
kutoridhishwa,kiongozi,Mpango,0.097713098
walichoeleza,majengo,yatangazwa,0.095634096
nchi,urithi,kuingia,0.093555094
mheshimiwa,kuathiri,kwenye,0.091476091
itafanya,uchafuzi,uchumi,0.089397089
alishauri,kuathiri,kwenye,0.087318087
mbunge,fedha,kiongozi,0.085239085
nyingi,uingereza,kijeshi,0.083160083
nchini,chancellor,baadhi,0.081081081
nchi,ingawa,hifadhi,0.079002079
ishirini,nyingi,mashariki,0.076923077
ishirini,matangazo,kusafirisha,0.074844075
