audio_ID,path,sentence
audio_faa7312a,audio_faa7312a.mp3,huko kwa Wakiroba Mkoa wa Mara
audio_643a10c1,audio_643a10c1.mp3,Alingaa katika medani za kisiasa na uongozi ndani ya Serikali ya Mapinduzi ya Zanzibar
audio_5b626e74,audio_5b626e74.mp3,Vitu saba ambavyo kila baba atakuwa.
audio_5972c5f3,audio_5972c5f3.mp3,inaonyesha mawaziri wapya ambao wamechukua nafasi hiyo ni sita
audio_deebd5b0,audio_deebd5b0.mp3,ee hii pia inatumiwa na kiwanda cha
audio_13f70be2,audio_13f70be2.mp3,Vasco da Gama ni mwanachama wa Utawa wa Tatu wa Mtakatifu Fransisko
audio_3f4a023f,audio_3f4a023f.mp3,Umeleta pesa?
audio_9f07f8b2,audio_9f07f8b2.mp3,Pia mwaka wa elfu mbili na mbili na Ballon dOr mara mbili
audio_40342cf4,audio_40342cf4.mp3,mwaka elfu mbili na kumi na nane ndege yenye wahudumu wa kike wote iliruka
audio_be4694d2,audio_be4694d2.mp3,alikutwa na hatia ya kushiriki katika mauaji ya kimbari
audio_04268f35,audio_04268f35.mp3,Nguo ni za nani?
audio_e4470a99,audio_e4470a99.mp3,husema kwamba dawa ya kulevya ya ecstasy ni salama na humsisimua
audio_b3e0b4ca,audio_b3e0b4ca.mp3,maridhiano yaliofikia copen hagen ilikuwa ni hatua moja wapo ya kwanza kuzibana nchi zile
audio_d83e2d2f,audio_d83e2d2f.mp3,Mtwa mkwawa aliongoza vita ndogo dhidi ya maadui zake wajerumani
audio_f652d42a,audio_f652d42a.mp3,viongozi wa afrika wangeacha kabisa tabia hizi
audio_1222f64a,audio_1222f64a.mp3,Hii inaweza kutishia miamba moja kwa moja
audio_56c6e7c4,audio_56c6e7c4.mp3,Laibon anaweza kushiriki katika uponyaji wa kidini kuzungumza na Mungu na unabii
audio_ad20d576,audio_ad20d576.mp3,Unaniita sana
audio_84e66aed,audio_84e66aed.mp3,Anafanya biashara na watu walio watakatifu na mashetani pia
audio_f9602ac0,audio_f9602ac0.mp3,Kipindi cha utawala wa Omani huko Zanzibar kilifafanuliwa sana
audio_47e9cb40,audio_47e9cb40.mp3,amesema jeshi litatetea vifungu vya katiba
audio_6e78a7d7,audio_6e78a7d7.mp3,weka bayana virusi viliavyo sababisha ugonjwa huo
audio_c95087b5,audio_c95087b5.mp3,yalimpindua Sultani wa Kiarabu na kutoa mamlaka kwa Waafrika walio wengi
audio_4efa85ea,audio_4efa85ea.mp3,yaliyo tokea maeneo tofauti ndani saa moja afisa mwandamizi wa polisi mohamed abubakar
audio_48abd616,audio_48abd616.mp3,Natamani kusafiri kwa meli
audio_a2683199,audio_a2683199.mp3,Tarehe ishirini Januari mwaka sitini alimlipa Punja Kara Haji
audio_b27a6ac9,audio_b27a6ac9.mp3,Mume wake ni mpole
audio_1daa9750,audio_1daa9750.mp3,kwa upande wake kiongozi wa chama cha wanahabari nchini burundi ibishi alexander yu ngeko
audio_03899315,audio_03899315.mp3,Kinshasa wakielekea Accra kwenye Mkutano wa nchi za Afrika ulioitishwa na Rais Kwame Nkrumah
audio_cd438970,audio_cd438970.mp3,yake nchini Marekani alipoishi New York City na Los Angeles na kuvutiwa na
audio_d4ae06a7,audio_d4ae06a7.mp3,Profesa Joseph Semboja pia ni Mtafiti Mwandamizi kutoka taasisi ya Uongozi
audio_a16a5101,audio_a16a5101.mp3,mapokezi ya watalii kwenye hifadhi yanaridhisha sana
audio_17532be5,audio_17532be5.mp3,ya Wamaasai Wakati kizazi kipya cha mashujaa kinaanzishwa waliokuwa ilmoran huendelea kuwa wazee bila
audio_c88b6b95,audio_c88b6b95.mp3,Iratapuru jamii ambayo hutoa karanga endelevu za
audio_b2f9b838,audio_b2f9b838.mp3,Mbwa anaweza kukuuma.
audio_eb1b3b4d,audio_eb1b3b4d.mp3,Mvua ya asidi pia inajulikana kusababisha
audio_6f40e6d8,audio_6f40e6d8.mp3,Unaweza hisi nayo ni jumla ya matawi ya miti hiyo
audio_b1680041,audio_b1680041.mp3,naam ni sauti yake alikuwa waziri wa mawasiliano nchini india ajemo toraja
audio_1bf8b6e8,audio_1bf8b6e8.mp3,huku nao manchester united ambao ndio wanaongoza ligi kuu nchini uingereza kwa sasa
audio_8123bed5,audio_8123bed5.mp3,laki nane themanini na mbili mia moja arobaini na moja
audio_e59b9c9c,audio_e59b9c9c.mp3,ili uimarike zaidi na kuweka mazingira ya kuona nafasi za kazi
audio_f0ead1b5,audio_f0ead1b5.mp3,matamgazo ni sehemu muhimu ya programu ya kipindi
